Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales(in dollars),Operating Profit(in dollars),Sales Method
Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200,600000,300000,In-store
Foot Locker,1185732,02-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,1000,500000,150000,In-store
Foot Locker,1185732,03-01-2020,Northeast,New York,New York,Women's Street Footwear,40.00,1000,400000,140000,In-store
Foot Locker,1185732,04-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,850,382500,133875,In-store
Foot Locker,1185732,05-01-2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000,162000,In-store
Foot Locker,1185732,06-01-2020,Northeast,New York,New York,Women's Apparel,50.00,1000,500000,125000,In-store
Foot Locker,1185732,07-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1250,625000,312500,In-store
Foot Locker,1185732,08-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,450000,135000,Outlet
Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,40.00,950,380000,133000,Outlet
Foot Locker,1185732,22-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,371250,129938,Outlet
Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000,162000,Outlet
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,50.00,1000,500000,125000,Outlet
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1220,610000,305000,Outlet
Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,925,462500,138750,Outlet
Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,40.00,950,380000,133000,Outlet
Foot Locker,1185732,28-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,800,360000,126000,Outlet
Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,60.00,850,510000,153000,Outlet
Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,50.00,950,475000,118750,Outlet
Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200,600000,300000,Outlet
Foot Locker,1185732,01-02-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,450000,135000,Outlet
Foot Locker,1185732,02-02-2020,Northeast,New York,New York,Women's Street Footwear,40.00,900,360000,126000,Outlet
Foot Locker,1185732,03-02-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,371250,129938,Outlet
Foot Locker,1185732,04-02-2020,Northeast,New York,New York,Men's Apparel,60.00,825,495000,148500,Outlet
Foot Locker,1185732,05-02-2020,Northeast,New York,New York,Women's Apparel,50.00,950,475000,118750,Outlet
Foot Locker,1185732,06-02-2020,Northeast,New York,New York,Men's Street Footwear,60.00,1220,732000,366000,Outlet
Foot Locker,1185732,07-02-2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,925,508750,152625,Outlet
Foot Locker,1185732,08-02-2020,Northeast,New York,New York,Women's Street Footwear,50.00,900,450000,157500,Outlet
